study,year,location,state,cultivar,data_sowing,group,active_ingredient,n,sev_check,inc_check,index_check,yld_check,region,mean_sev,mean_inc,mean_yld,vi_yld
1,2012,Dourados,MS,BRS 208,16/03/2012,check,AACHECK,4,73.57499999999999,93.3,68.653275,1097,North,73.57499999999999,93.3,1097,11157.429487179486
1,2012,Dourados,MS,BRS 208,16/03/2012,DMI,TEBU,4,73.57499999999999,93.3,68.653275,1097,North,53.1,67.8,1528,11157.429487179486
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,AZOX+TEBU,4,73.57499999999999,93.3,68.653275,1097,North,56.5375,73.75,1340,11157.429487179486
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,PYRA+EPOX,4,73.57499999999999,93.3,68.653275,1097,North,62.400000000000006,80.0375,1315,11157.429487179486
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+PROT,4,73.57499999999999,93.3,68.653275,1097,North,68.55,84.4,1242,11157.429487179486
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+TEBU,4,73.57499999999999,93.3,68.653275,1097,North,62.6,77.075,1450,11157.429487179486
2,2012,Palotina,PR,BRS 208,15/04/2012,check,AACHECK,4,28.64,40.5,11.72585,1219.375,South,28.64,40.5,1219.375,7298.315099105241
2,2012,Palotina,PR,BRS 208,15/04/2012,DMI,TEBU,4,28.64,40.5,11.72585,1219.375,South,18.06,41.5,1570.835,7298.315099105241
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,AZOX+TEBU,4,28.64,40.5,11.72585,1219.375,South,12.228750000000002,46.75,1555.5212499999998,7298.315099105241
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,PYRA+EPOX,4,28.64,40.5,11.72585,1219.375,South,16.56375,32.5,1553.5425,7298.315099105241
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+PROT,4,28.64,40.5,11.72585,1219.375,South,10.6675,55.5,1731.4575,7298.315099105241
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+TEBU,4,28.64,40.5,11.72585,1219.375,South,17.945,40.25,1540.0825,7298.315099105241
3,2012,Londrina,PR,MARFIM,07/04/2012,check,AACHECK,4,92.8625,100,92.8625,495.1225,South,92.8625,100,495.1225,2706.824202153777
3,2012,Londrina,PR,MARFIM,07/04/2012,DMI,TEBU,4,92.8625,100,92.8625,495.1225,South,57.2375,78.25,1022.31,2706.824202153777
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,AZOX+TEBU,4,92.8625,100,92.8625,495.1225,South,58.59375,81.375,985.27,2706.824202153777
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,PYRA+EPOX,4,92.8625,100,92.8625,495.1225,South,75.6625,91.125,732.3187499999999,2706.824202153777
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,TFLX+PROT,4,92.8625,100,92.8625,495.1225,South,60.025,89,885.4,2706.824202153777
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,TFLX+TEBU,4,92.8625,100,92.8625,495.1225,South,52.9875,70.5,933.99,2706.824202153777
4,2012,Planaltina,DF,BRS 208,09/03/2012,check,AACHECK,4,16.05,35.5,6.3645000000000005,1747.4375,North,16.05,35.5,1747.4375,45813.49655983666
4,2012,Planaltina,DF,BRS 208,09/03/2012,DMI,TEBU,4,16.05,35.5,6.3645000000000005,1747.4375,North,8.05,19.25,2191.625,45813.49655983666
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,AZOX+TEBU,4,16.05,35.5,6.3645000000000005,1747.4375,North,8.875,21,2073.4375,45813.49655983666
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,PYRA+EPOX,4,16.05,35.5,6.3645000000000005,1747.4375,North,14.9,32.75,1885.875,45813.49655983666
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,TFLX+PROT,4,16.05,35.5,6.3645000000000005,1747.4375,North,12.725,25.75,2007.9375,45813.49655983666
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,TFLX+TEBU,4,16.05,35.5,6.3645000000000005,1747.4375,North,9.5,18.5,2279.375,45813.49655983666
5,2012,Itaberá,SP,BRS 208,20/02/2012,check,AACHECK,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,4.4799999999999995,7.7124999999999995,2148.3075,43719.75978808761
5,2012,Itaberá,SP,BRS 208,20/02/2012,DMI,TEBU,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,3.28,5.05,2579.27,43719.75978808761
5,2012,Itaberá,SP,BRS 208,20/02/2012,QoI+DMI,AZOX+TEBU,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,2.4725,4.2524999999999995,2585.665,43719.75978808761
5,2012,Itaberá,SP,BRS 208,20/02/2012,QoI+DMI,PYRA+EPOX,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,2.29375,3.74625,2479.1575000000003,43719.75978808761
5,2012,Itaberá,SP,BRS 208,20/02/2012,QoI+DMI,TFLX+PROT,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,2.7800000000000002,4.7475,2482.5925,43719.75978808761
5,2012,Itaberá,SP,BRS 208,20/02/2012,QoI+DMI,TFLX+TEBU,4,4.4799999999999995,7.7124999999999995,0.35126024999999994,2148.3075,South,2.2025,3.5575,2660.9625,43719.75978808761
6,2013,Dourados,MS,BRS 208,28/03/2013,check,AACHECK,4,18.825,48.7,9.172025,506,North,18.825,48.7,506,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,DMI,TEBU,4,18.825,48.7,9.172025,506,North,9.45,15.2,964,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,DTC,MANC,4,18.825,48.7,9.172025,506,North,8.025,17.5,957,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,QoI+DMI,AZOX+TEBU,4,18.825,48.7,9.172025,506,North,11.75,20.1,764,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,QoI+DMI,PYRA+EPOX,4,18.825,48.7,9.172025,506,North,14.325,38,559,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,QoI+DMI,TFLX+PROT,4,18.825,48.7,9.172025,506,North,10.75,25.1,726,990.0059523809527
6,2013,Dourados,MS,BRS 208,28/03/2013,QoI+DMI,TFLX+TEBU,4,18.825,48.7,9.172025,506,North,9.625,23,751,990.0059523809527
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,check,AACHECK,4,13.075,22,2.91,1562.75,North,13.075,22,1562.75,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,DMI,TEBU,4,13.075,22,2.91,1562.75,North,5.725,11.25,1925.5,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,DTC,MANC,4,13.075,22,2.91,1562.75,North,8.3,16.5,1572.5,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,QoI+DMI,AZOX+TEBU,4,13.075,22,2.91,1562.75,North,7.05,12.875,1650.75,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,QoI+DMI,PYRA+EPOX,4,13.075,22,2.91,1562.75,North,8.725,17.5,1536.25,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,QoI+DMI,TFLX+PROT,4,13.075,22,2.91,1562.75,North,5.1,9.5,1936.75,9394.082222222221
7,2013,Patos de Minas,MG,BRS 208,11/04/2013,QoI+DMI,TFLX+TEBU,4,13.075,22,2.91,1562.75,North,6.6,11.75,1642,9394.082222222221
8,2013,Planaltina,DF,BRS 208,14/03/2013,check,AACHECK,4,22.175,46.5,10.407,3250.75,North,22.175,46.5,3250.75,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,DMI,TEBU,4,22.175,46.5,10.407,3250.75,North,21.275,45.5,3498.75,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,DTC,MANC,4,22.175,46.5,10.407,3250.75,North,16.175,34.25,3874.75,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,QoI+DMI,AZOX+TEBU,4,22.175,46.5,10.407,3250.75,North,17.6625,37.375,3380.25,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,QoI+DMI,PYRA+EPOX,4,22.175,46.5,10.407,3250.75,North,15.325,32.75,3343.75,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,QoI+DMI,TFLX+PROT,4,22.175,46.5,10.407,3250.75,North,16.225,34.5,3522.75,43262.65055555557
8,2013,Planaltina,DF,BRS 208,14/03/2013,QoI+DMI,TFLX+TEBU,4,22.175,46.5,10.407,3250.75,North,16.1,33.5,3328,43262.65055555557
9,2013,Itaberá,SP,QUARTZO,15/02/2013,check,AACHECK,4,59.87,68.6125,41.8570725,967.105,South,59.87,68.6125,967.105,5711.92856861111
